line,type,label,has_date
8th Semester Undergraduate Computer Science Engineering UCE RTU Kota,header,personal,False
  91 9772881151 jaijanyani gmail com 7 108 Malviya Nagar Jaipur 302017,header,personal,False
JAI JANYANI,footer,skills,False
seek opportunity apply technology expertise creative problem solve skill,content,experience,False
innovative software company,content,experience,False
  Machine Learning Engineering Intern Forsk Technologies Jaipur 2017 July 2017,content,experience,True
learn foundational concept datum science machine learning include python statistic,content,skills,False
time spend understand concept algorithm example case,content,experience,False
study build mid scale machine learning model supervised unsupervised,content,skills,False
  Software Engineering Intern Proxbotics Creations Technologies Jaipur 2016 July 2016,content,experience,True
develop optimize project include ecommerce book reservation non profit,content,experience,False
organization Websites technology HTML css PHP JavaScript MySQL etc,content,skills,False
  trainee TecheduSoft Kota 2015,content,skills,False
course contain 15 module include Android Basics fragment screen design intent,content,experience,False
view sign app web server web service notification etc,content,experience,False
project available git,content,experience,False
Video Analysis surveillance,content,experience,False
  command line app take CCTV feed input filter feed abnormal event,content,experience,False
result 90 video watch image processing deep learning algorithm,content,experience,False
output time stamp interesting event feed,content,skills,False
Food Calorie Estimator,content,skills,False
  android app estimate calorie present food image train Data set Meal net,footer,skills,False
Transfer learn build Inception V3 propose Deep Convolutional Neural Network CNN,footer,skills,False
48 Layers develop rest api integrate mobile app optimize total computation time,content,experience,False
  2 second,content,experience,False
  CryptoCurrency Market Predictor,footer,skills,False
  Flask app predict future price Crypto Currencies implement supervised,content,skills,False
deep learn algorithm LSTM RNN polynomial regression scikit learn tensorflow,footer,skills,False
Spam Filter,content,experience,False
  rest api detect Incoming SMS Email Spam Ham train datum,content,skills,False
set NLP Naive Bayes Sentiment Analysis,footer,skills,False
  Image Classifier CNN,footer,skills,False
  application detect object present image implement convolutional neural,content,experience,False
network open source machine learning library run multiple machine reduce,content,experience,False
training workload classifie object pre train image net model,footer,skills,False
  Online Student Faculty Portal,content,experience,False
  web Portal manage attendance student faculty integrate mobile app use,header,personal,False
Php MySQL HTML CSS JavaScript etc,footer,skills,False
tax Accounting,content,experience,False
  decentralized web app build Ethereum Block Chain Truffle Embark framework,footer,skills,False
transfer fund account automatically deduct tax account,content,experience,False
TECHNICAL skill,content,experience,False
Programming Languages C c,footer,skills,False
web Technologies html css,content,experience,False
Scripting Languages Python PHP BASH,footer,skills,False
Database Management System MySQL SQLite,content,experience,False
Operating Systems Microsoft Windows Linux UNIX,footer,skills,False
strong Areas Machine Learning Data Science,content,skills,False
apply machine Learning Applied Data Science Exploratory Data Analysis Data Visualization Neural,footer,skills,False
network Deep Learning Computer network Data Structures Algorithms Operating Systems Cloud,footer,skills,False
Computing Data Mining Block chain Essentials Database Management Systems,footer,skills,False
  University College Engineering Kota Btech pursue Computer Science Engineering 2018,content,education,False
  St Edmunds School Jaipur Senior secondary XII Education Rajasthan 2012,content,education,False
  St Edmunds School Jaipur Secondary X Education Rajasthan 2010,content,education,False
